Trip Year,Trip Month,End Station,End Lat,End Lon,Date,Start Station,Start Lat,Start Lon,Type
2022,June,21 St & 36 Ave,40.7601853,-73.9362726,526,526,526,526,526
2022,June,21 St & 38 Ave,40.757631,-73.939122,9,9,9,9,9
2022,June,21 St & 38 Ave,40.7576314,-73.9391224,388,388,388,388,388
2022,June,21 St & 4 Ave,40.662584,-73.995554,885,885,885,885,885
2022,June,21 St & 43 Ave,40.750525,-73.945948,8,8,8,8,8
2022,June,21 St & 43 Ave,40.75052534,-73.94594845,780,780,780,780,780
2022,June,21 St & Hoyt Ave S,40.774645,-73.923706,1560,1560,1560,1560,1560
2022,June,21 St & Queens Plaza North,40.75325964,-73.94335788,1482,1482,1482,1482,1482
2022,June,21 St & Queens Plaza North,40.75326,-73.943358,9,9,9,9,9
2022,June,23 Ave & 27 St,40.776165,-73.915318,4,4,4,4,4
2022,June,23 Ave & 27 St,40.776165,-73.9153175,688,688,688,688,688
2022,June,23 Rd & 31 St,40.77336750284339,-73.91382560133934,259,259,259,259,259
2022,June,23 St & 3 Ave,40.662611,-73.998623,122,122,122,122,122
2022,June,24 Ave & 26 St,40.774591,-73.918544,788,788,788,788,788
2022,June,24 Ave & 29 St,40.7729,-73.916142,770,770,770,770,770
2022,June,24 St & 38 Ave,40.756351,-73.936515,782,782,782,782,782
2022,June,24 St & 41 Ave,40.752474,-73.939991,915,915,915,915,915
2022,June,24 St & 5 Ave,40.659555,-73.995068,741,741,741,741,741
2022,June,25 Ave & 41 St,40.767666,-73.910963,781,781,781,781,781
2022,June,27 Ave & 3 St,40.77485,-73.9342,401,401,401,401,401
2022,June,27 Ave & 9 St,40.7739825,-73.9309134,721,721,721,721,721
2022,June,27 Ave & 9 St,40.773983,-73.930913,4,4,4,4,4
2022,June,27 St & Hunter St,40.7485,-73.941275,2083,2083,2083,2083,2083
2022,June,28 Ave & 35 St,40.7671,-73.9169858,896,896,896,896,896
2022,June,28 Ave & 44 St,40.764089,-73.910651,2,2,2,2,2
2022,June,28 Ave & 44 St,40.76408932350688,-73.91065120697021,646,646,646,646,646
2022,June,28 St & 36 Ave,40.757186,-73.932719,792,792,792,792,792
2022,June,28 St & 41 Ave,40.751047,-73.93797,1690,1690,1690,1690,1690
2022,June,29 St & 5 Ave,40.656986,-73.998194,209,209,209,209,209
2022,June,3 Ave & 14 St,40.6685455,-73.99333264,646,646,646,646,646
2022,June,3 Ave & 14 St,40.668546,-73.993333,4,4,4,4,4
2022,June,3 Ave & 17 St,40.666168,-73.995549,211,211,211,211,211
2022,June,3 Ave & Carroll St,40.677027,-73.9865,688,688,688,688,688
2022,June,3 Ave & E 100 St,40.787721,-73.947283,3,3,3,3,3
2022,June,3 Ave & E 100 St,40.7877214,-73.94728331,1066,1066,1066,1066,1066
2022,June,3 Ave & E 112 St,40.795508,-73.941606,920,920,920,920,920
2022,June,3 Ave & E 163 St,40.823872,-73.908699,502,502,502,502,502
2022,June,3 Ave & E 169 St,40.832678,-73.905158,859,859,859,859,859
2022,June,3 Ave & E 170 St,40.834857,-73.903743,843,843,843,843,843
2022,June,3 Ave & E 172 St,40.839586,-73.900277,461,461,461,461,461
2022,June,3 Ave & E 174 St,40.84224,-73.8985,405,405,405,405,405
2022,June,3 Ave & E 62 St,40.76312584,-73.96526895,3267,3267,3267,3267,3267
2022,June,3 Ave & E 62 St,40.763126,-73.965269,27,27,27,27,27
2022,June,3 Ave & E 71 St,40.76873687,-73.96119945,2046,2046,2046,2046,2046
2022,June,3 Ave & E 71 St,40.768737,-73.961199,12,12,12,12,12
2022,June,3 Ave & E 72 St,40.7699426,-73.96060712,2055,2055,2055,2055,2055
2022,June,3 Ave & E 72 St,40.769943,-73.960607,18,18,18,18,18
2022,June,3 Ave & Franklin Ave,40.82696,-73.907451,385,385,385,385,385
2022,June,3 Ave & Schermerhorn St,40.686832,-73.979677,18,18,18,18,18
2022,June,3 Ave & Schermerhorn St,40.68683208,-73.9796772,2220,2220,2220,2220,2220
2022,June,3 Ave & Wakeman Pl,40.638246,-74.024714,255,255,255,255,255
2022,June,3 St & 3 Ave,40.6750705,-73.98775226,1390,1390,1390,1390,1390
2022,June,3 St & 3 Ave,40.675071,-73.987752,9,9,9,9,9
2022,June,3 St & 7 Ave,40.6703837,-73.97839676,2782,2782,2782,2782,2782
2022,June,3 St & 7 Ave,40.670384,-73.978397,12,12,12,12,12
2022,June,3 St & Hoyt St,40.6777287,-73.99364123,830,830,830,830,830
2022,June,3 St & Hoyt St,40.677729,-73.993641,4,4,4,4,4
2022,June,3 St & Prospect Park West,40.668132,-73.97363831,3797,3797,3797,3797,3797
2022,June,3 St & Prospect Park West,40.668132,-73.973638,44,44,44,44,44
2022,June,30 Ave & 12 St,40.77171710520828,-73.93159255385399,221,221,221,221,221
2022,June,30 Ave & 12 St,40.77174859010057,-73.9316126704216,230,230,230,230,230
2022,June,30 Ave & 12 St,40.771749,-73.931613,1,1,1,1,1
2022,June,30 Ave & 21 St,40.7703743,-73.9286078,709,709,709,709,709
2022,June,30 Ave & 41 St,40.763422,-73.914142,867,867,867,867,867
2022,June,30 Ave & 47 St,40.761294,-73.909562,495,495,495,495,495
